"Species2","Sahara","Arabian","Thar","Gobi","Chihuahuan","Great_Basin","Kalahari","Atacama","Patagonian","Great_Australian","Family2","Order2","Avibase.ID2","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
"Chlamydera guttata",0,0,0,0,0,0,0,0,0,1,"Ptilonorhynchidae","Passeriformes","AVIBASE-2C118B44",8,4,4,0,1,27.1,16,6.9,8.9,39.3,141.6,25.4,112.6,18.4,92.6,136,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Omnivore","Insessorial"
"Chlamydera maculata",0,0,0,0,0,0,0,0,0,1,"Ptilonorhynchidae","Passeriformes","AVIBASE-2F763AC6",10,5,5,0,4,30.5,15.6,8,9.8,39.8,145.5,26.4,121.9,17.8,109.5,140,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Omnivore","Insessorial"
"Chlamydera nuchalis",0,0,0,0,0,0,0,0,0,1,"Ptilonorhynchidae","Passeriformes","AVIBASE-0F4DA8F3",9,5,4,0,4,36.5,19.2,8.8,11.4,47.5,172.8,24.1,146.4,14.1,142.5,200.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Omnivore","Insessorial"
"Chlamydotis macqueenii",1,1,1,0,0,0,0,0,0,0,"Otididae","Otidiformes","AVIBASE-1BCEB0FD",6,3,3,0,2,45.5,24.4,11.1,9.2,89.5,383.4,163.8,214.4,43.3,194.9,1501.3,"DataFromSplit","NA","NO","NA","NA","Desert",3,"1","Herbivore","Omnivore","Terrestrial"
"Chlamydotis undulata",1,0,0,0,0,0,0,0,0,0,"Otididae","Otidiformes","AVIBASE-5714C710",9,4,5,0,8,49.6,24.3,11.2,9.2,92.1,364.3,149.3,213.3,41.1,222,1501.3,"Dunning","NA","NO","NA","NA","Desert",3,"1","Herbivore","Omnivore","Terrestrial"
"Chlidonias hybrida",1,1,1,1,0,0,1,0,0,1,"Laridae","Charadriiformes","AVIBASE-7AB4E42B",6,3,3,0,4,35,20.1,4.3,7.5,23,231.8,144.5,82.8,63.6,85.8,83.7,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aerial"
"Chlidonias leucopterus",1,1,1,1,0,0,1,0,0,1,"Laridae","Charadriiformes","AVIBASE-43CAAEE3",8,4,4,0,4,30,16.7,3.8,5.7,18.7,208.2,126.9,79.9,61.4,75.4,54.2,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aerial"
"Chlidonias niger",1,1,0,1,1,1,0,0,0,0,"Laridae","Charadriiformes","AVIBASE-115AF02D",10,4,5,1,8,31.1,18.4,3.5,5.4,15.8,201.7,123.7,75,62.1,77.8,65.3,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Aquatic predator","Aerial"
"Chloephaga hybrida",0,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes","AVIBASE-4270502F",5,2,3,0,4,34.2,18.7,16.6,13.5,53.5,358,131.5,222.2,37.2,131.8,2281.8,"Dunning","NA","NO","NA","NA","Marine",3,"2","Herbivore","Herbivore terrestrial","Terrestrial"
"Chloephaga picta",0,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes","AVIBASE-74FC5DAB",5,2,3,0,4,40.1,21,18,14.7,72.5,412.2,178.2,226.2,44.1,138.2,2880.4,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Herbivore","Herbivore terrestrial","Terrestrial"
"Chloephaga poliocephala",0,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes","AVIBASE-E0DEB0E7",5,2,3,0,4,30.9,16.2,14.1,12,55.2,345.4,147,191.2,43.5,119,2007.1,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Herbivore","Herbivore terrestrial","Terrestrial"
"Chloephaga rubidiceps",0,0,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes","AVIBASE-164A10EA",5,2,3,0,4,30.5,15.3,13,11.2,56.2,325.6,143.2,179.8,44.4,109.4,2086,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Herbivore","Herbivore terrestrial","Terrestrial"
"Chloris chloris",1,1,0,0,0,0,0,0,0,0,"Fringillidae","Passeriformes","AVIBASE-65BD2033",30,14,16,0,8,14.4,11,7.6,8.8,17.3,85.3,27.8,57.4,32.5,55.7,26,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Herbivore","Granivore","Generalist"
"Chloris sinica",0,0,0,1,0,0,0,0,0,0,"Fringillidae","Passeriformes","AVIBASE-684A6610",5,2,3,0,2,13.8,8.7,6.4,7.8,14.5,76.1,25.2,49.9,33.5,48.3,18.6,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Granivore","Generalist"
"Chloropicus elachus",1,0,0,0,0,0,0,0,0,0,"Picidae","Piciformes","AVIBASE-C6F9E5EE",5,2,3,0,4,15.1,11.7,4.8,4.8,14.8,78.4,15.2,62.8,19.6,36.2,18.4,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Carnivore","Invertivore","Insessorial"
"Chloropicus fuscescens",1,0,0,0,0,0,1,0,0,0,"Picidae","Piciformes","AVIBASE-0A241B83",10,4,6,0,5,20,14.8,5.5,5.9,15.9,92,20.7,71.5,22.5,48.4,26,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Chloropicus goertae",1,0,0,0,0,0,0,0,0,0,"Picidae","Piciformes","AVIBASE-E5DF48FC",5,2,3,0,4,25.1,19.7,6.3,6.8,19.1,108,24,84.5,22.1,58.8,44.5,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Chloropicus obsoletus",1,0,0,0,0,0,0,0,0,0,"Picidae","Piciformes","AVIBASE-9FF4EDB5",5,2,3,0,4,16.5,11.9,4.6,4.6,13.7,77.6,18,59.2,23.3,41.2,21.4,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Chondestes grammacus",0,0,0,0,1,1,0,0,0,0,"Passerellidae","Passeriformes","AVIBASE-78509A5D",5,2,3,0,4,15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,"Dunning","NA","NO","NA","NA","Shrubland",3,"2","Herbivore","Granivore","Generalist"
"Chordeiles acutipennis",0,0,0,0,1,1,0,0,0,0,"Caprimulgidae","Caprimulgiformes","AVIBASE-9690689D",7,1,4,2,4,8.5,4.2,3.5,2.4,11.7,164.8,92.5,75,55.1,100.6,48.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Carnivore","Invertivore","Aerial"
"Chordeiles minor",0,0,0,0,1,1,0,0,0,0,"Caprimulgidae","Caprimulgiformes","AVIBASE-24E39ACD",10,4,2,4,4,12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Invertivore","Aerial"
"Chroicocephalus brunnicephalus",0,0,1,1,0,0,0,0,0,0,"Laridae","Charadriiformes","AVIBASE-C2868E7A",9,6,3,0,8,47.4,18.5,5.6,11.1,49.5,333.9,149.8,183.1,44.9,125.7,569.3,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Generalist"
"Chroicocephalus cirrocephalus",0,0,0,0,0,0,0,0,1,0,"Laridae","Charadriiformes","AVIBASE-6EB497FA",5,2,3,0,4,47.5,18.2,5.1,10.2,49.5,319,176.2,140.5,55.6,124.6,374.7,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Aerial"
"Chroicocephalus genei",1,1,0,0,0,0,0,0,0,0,"Laridae","Charadriiformes","AVIBASE-27CE7132",6,3,2,1,4,52.1,23.2,5,9.4,49.4,300.8,171.5,130,56.9,110.2,281,"Dunning","NA","NO","NA","NA","Coastal",3,"2","Carnivore","Aquatic predator","Generalist"
"Chroicocephalus maculipennis",0,0,0,0,0,0,0,0,1,0,"Laridae","Charadriiformes","AVIBASE-F8F183DD",5,2,3,0,4,41.4,16.6,4.7,8.9,43.8,291.2,159,129.2,55.1,108.2,339,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Omnivore","Generalist"
"Chroicocephalus novaehollandiae",0,0,0,0,0,0,0,0,0,1,"Laridae","Charadriiformes","AVIBASE-AD086862",10,4,4,2,8,39.6,17.5,5.3,10.2,44.3,277.3,146.5,129.8,53,107.6,269,"Dunning","NA","NO","NA","NA","Coastal",3,"1","Carnivore","Omnivore","Generalist"
"Chroicocephalus philadelphia",0,0,0,0,1,1,0,0,0,0,"Laridae","Charadriiformes","AVIBASE-0337440E",5,2,2,1,4,35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Omnivore","Aerial"
"Chroicocephalus ridibundus",1,1,1,1,0,0,0,0,0,0,"Laridae","Charadriiformes","AVIBASE-FB02DD96",14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Aquatic predator","Generalist"
"Chroicocephalus serranus",0,0,0,0,0,0,0,1,1,0,"Laridae","Charadriiformes","AVIBASE-A971CBD4",5,2,3,0,4,41.9,17.4,5.3,9.7,52.9,352.8,185.8,164.5,53,140,478,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Generalist"
"Chrysococcyx basalis",0,0,0,0,0,0,0,0,0,1,"Cuculidae","Cuculiformes","AVIBASE-91248B47",5,2,3,0,4,15.9,9.4,4.1,4.2,18,99.6,40.5,59,40.6,68.4,23.1,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Generalist"
"Chrysococcyx caprius",1,1,0,0,0,0,1,0,0,0,"Cuculidae","Cuculiformes","AVIBASE-0482FA7E",5,2,3,0,4,18.3,11.6,6,5.2,18.3,113.4,43.6,69.6,38.5,79.6,32.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Chrysococcyx klaas",0,1,0,0,0,0,1,0,0,0,"Cuculidae","Cuculiformes","AVIBASE-1FACD210",10,5,5,0,4,18.4,10.8,5.8,4.6,16.1,99.2,34.8,63.8,35.3,72.4,27.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Chrysococcyx lucidus",0,0,0,0,0,0,0,0,0,1,"Cuculidae","Cuculiformes","AVIBASE-19268395",4,2,2,0,4,18.3,10.5,5.8,4.7,17.6,102.8,45.2,57.6,44,67.5,24.4,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Invertivore","Insessorial"
"Chrysococcyx osculans",0,0,0,0,0,0,0,0,0,1,"Cuculidae","Cuculiformes","AVIBASE-087C279E",5,2,2,1,4,18.4,11.5,4.8,5.1,18.8,115.2,45.4,68.8,39.8,86.4,30.9,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Chrysocolaptes festivus",0,0,1,0,0,0,0,0,0,0,"Picidae","Piciformes","AVIBASE-8C743B57",5,2,3,0,4,51.1,38.4,9.8,10.6,28.5,152.6,39.9,112.9,26.1,80,213,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Chrysomma sinense",0,0,1,0,0,0,0,0,0,0,"Sylviidae","Passeriformes","AVIBASE-0C0CEF5B",13,10,3,0,12,13.8,8.7,3.7,5.3,25.3,65.1,6.3,58.8,9.6,81.8,17.2,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Ciconia abdimii",1,1,0,0,0,0,1,0,0,0,"Ciconiidae","Ciconiiformes","AVIBASE-26CD0319",4,2,2,0,4,108,82.2,15.4,24,113,416.5,185.8,230.8,44.6,163,1398,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Invertivore","Terrestrial"
"Ciconia ciconia",1,1,1,0,0,0,1,0,0,0,"Ciconiidae","Ciconiiformes","AVIBASE-28825494",5,2,3,0,4,189.1,153.4,23.5,33.1,217.2,565.6,260.2,306.8,45.9,249.8,3445.8,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Omnivore","Terrestrial"
"Ciconia episcopus",0,0,1,0,0,0,0,0,0,0,"Ciconiidae","Ciconiiformes","AVIBASE-1782CCF6",10,6,4,0,8,150.8,121.2,17.6,27.7,158,465.9,178.3,291,38,178.8,2061,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Aquatic predator","Terrestrial"
"Ciconia maguari",0,0,0,0,0,0,0,0,1,0,"Ciconiidae","Ciconiiformes","AVIBASE-4AB9F632",4,1,2,1,3,248.5,182.3,26.6,35.4,258.2,576.5,248.2,328.2,43.1,254.5,3995,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Carnivore","Aquatic predator","Terrestrial"
"Ciconia nigra",1,1,1,1,0,0,1,0,0,0,"Ciconiidae","Ciconiiformes","AVIBASE-E2817DAE",7,2,5,0,4,184.5,145.7,16.6,27.4,192.6,529.5,228.3,300.2,43.1,235.6,2926,"Dunning","NA","NO","NA","NA","Woodland",2,"3","Carnivore","Aquatic predator","Terrestrial"
"Cinclodes atacamensis",0,0,0,0,0,0,0,1,0,0,"Furnariidae","Passeriformes","AVIBASE-DD308D8C",12,5,7,0,4,25.8,16.5,3.7,4.8,31.3,110.4,25.8,86.2,23,84.6,53,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Invertivore","Terrestrial"
"Cinclodes fuscus",0,0,0,0,0,0,0,1,1,0,"Furnariidae","Passeriformes","AVIBASE-FF52966F",12,4,8,0,4,18.5,11.7,3.1,3.9,25,97.2,26.6,71,27.2,72.1,30,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Aquatic predator","Terrestrial"
"Cinclodes nigrofumosus",0,0,0,0,0,0,0,1,0,0,"Furnariidae","Passeriformes","AVIBASE-1B10F1B4",8,3,2,3,4,27.5,16.9,4.4,5.5,31.5,114.6,24.3,90.2,21.2,88,65,"Dunning","NA","NO","NA","NA","Rock",3,"1","Carnivore","Aquatic predator","Terrestrial"
"Cinclodes oustaleti",0,0,0,0,0,0,0,1,1,0,"Furnariidae","Passeriformes","AVIBASE-E20363A6",9,1,6,2,4,20.3,12.4,3.1,3.8,24.7,92.6,22.6,69.3,24.5,69.8,30.5,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Carnivore","Invertivore","Terrestrial"
"Cinclodes patagonicus",0,0,0,0,0,0,0,0,1,0,"Furnariidae","Passeriformes","AVIBASE-519ED71C",7,1,6,0,4,24.5,15.4,3.4,4.3,28.5,99.6,25.3,74.3,25.4,76.5,30.7,"Dunning","NA","NO","NA","NA","Riverine",3,"3","Carnivore","Invertivore","Terrestrial"
"Cinclosoma castaneothorax",0,0,0,0,0,0,0,0,0,1,"Cinclosomatidae","Passeriformes","AVIBASE-476F7031",11,4,7,0,4,19.1,10.1,4.6,5,28.8,94.4,23.5,71.3,24.8,91.5,62.4,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Terrestrial"
"Cinclosoma clarum",0,0,0,0,0,0,0,0,0,1,"Cinclosomatidae","Passeriformes","AVIBASE-CF9BA9D6",5,3,2,0,2,20.9,10.3,3.9,4.9,30.7,97.8,23.9,73.7,24.4,101,73.3,"DataFromSplit","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Terrestrial"
"Cinclus cinclus",1,0,0,1,0,0,0,0,0,0,"Cinclidae","Passeriformes","AVIBASE-FDECE3B9",35,22,12,1,11,22.1,11.7,3.4,4.4,28.4,88.9,24.5,64.5,27.6,50.1,61.5,"Dunning","NA","NO","NA","NA","Riverine",3,"1","Carnivore","Aquatic predator","Generalist"
"Cinclus mexicanus",0,0,0,0,1,1,0,0,0,0,"Cinclidae","Passeriformes","AVIBASE-A5EC8BF5",5,2,3,0,4,21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,"Dunning","NA","NO","NA","NA","Riverine",3,"1","Carnivore","Aquatic predator","Generalist"
"Cinnyricinclus leucogaster",1,1,0,0,0,0,1,0,0,0,"Sturnidae","Passeriformes","AVIBASE-B1A3AF6C",14,7,7,0,4,19,9,4.8,5,20.9,105.1,32,73,30.5,61,44,"Dunning","NA","NO","NA","NA","Forest",2,"3","Herbivore","Frugivore","Insessorial"
"Cinnyris asiaticus",0,1,1,0,0,0,0,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-E9BCF764",15,2,13,0,13,20.3,15,3.7,3.2,14.6,55,11.3,43.7,20.6,35.1,8.1,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Insessorial"
"Cinnyris chalybeus",0,0,0,0,0,0,1,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-679F9748",5,2,3,0,4,21.8,15.9,2.8,2.4,17.3,52,10.6,41.1,20.6,42.4,7.7,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Insessorial"
"Cinnyris cupreus",1,0,0,0,0,0,0,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-1F21FFE9",10,4,6,0,4,21.1,15.3,3.5,3.2,15.7,57,8.8,47.3,15.4,43.7,8.9,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Herbivore","Nectarivore","Insessorial"
"Cinnyris fuscus",0,0,0,0,0,0,1,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-427683B4",5,2,3,0,4,21.3,15.4,3.4,3,16.9,54.9,9.5,44.6,17.6,39.2,7.8,"Dunning","NA","NO","NA","NA","Desert",3,"1","Omnivore","Nectarivore","Insessorial"
"Cinnyris habessinicus",0,1,0,0,0,0,0,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-C6D0CB7E",5,2,3,0,4,22,15.5,3.4,3,16.1,63.1,10.4,51.8,16.3,47.8,9.5,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Herbivore","Omnivore","Insessorial"
"Cinnyris mariquensis",0,0,0,0,0,0,1,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-5AC9F737",9,4,5,0,4,22.6,16.7,3.4,3.4,16.4,64.6,12.2,51.6,19,49.3,11.5,"Dunning","NA","NO","NA","NA","Woodland",3,"1","Omnivore","Nectarivore","Insessorial"
"Cinnyris osea",1,1,0,0,0,0,0,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-783E492C",5,2,3,0,4,19,13.6,2.9,2.7,14.5,51.9,6.4,45,12.5,37.4,7.2,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Herbivore","Nectarivore","Insessorial"
"Cinnyris pulchellus",1,0,0,0,0,0,0,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-00D5E1C6",13,6,7,0,4,17.6,12.2,3.1,2.7,14.9,56.5,10.6,45.9,18.6,64.7,7,"Dunning","NA","NO","NA","NA","Woodland",3,"1","Herbivore","Nectarivore","Insessorial"
"Cinnyris talatala",0,0,0,0,0,0,1,0,0,0,"Nectariniidae","Passeriformes","AVIBASE-8D3818DB",5,2,3,0,4,22.9,17,3.3,2.6,16.3,54.1,8.4,45.2,15.8,38.6,8.1,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Omnivore","Nectarivore","Insessorial"
"Circaetus beaudouini",1,0,0,0,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-F4E78AFA",5,4,1,0,4,45.6,33.5,15.1,22.7,79.3,501.8,216.8,280.5,43.5,259.6,1500,"Inferred","NA","YES","Body Mass","Circaetus pectoralis","Woodland",2,"1","Carnivore","Vertivore","Insessorial"
"Circaetus cinereus",1,0,0,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-6904D83F",5,2,3,0,4,54.7,40.6,15.8,28.6,94.3,517.8,222,295.2,42.9,254,2048,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Vertivore","Insessorial"
"Circaetus gallicus",1,1,1,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-8372FFBA",5,2,3,0,4,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,"Dunning","NA","NO","NA","NA","Woodland",3,"3","Carnivore","Vertivore","Aerial"
"Circaetus pectoralis",0,0,0,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-BF553D32",5,2,3,0,4,46.7,33.8,14.6,23.1,83.8,527.8,229,303.5,43,259.4,1500,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Vertivore","Generalist"
"Circus aeruginosus",1,1,1,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-E2A19474",13,6,7,0,4,37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Vertivore","Aerial"
"Circus approximans",0,0,0,0,0,0,0,0,0,1,"Accipitridae","Accipitriformes","AVIBASE-1ACF5A6E",8,6,2,0,8,39.5,21.9,11.9,16.4,89.3,406.9,181.9,225,44.7,233.2,746.2,"Dunning","NA","NO","NA","NA","Wetland",3,"2","Carnivore","Vertivore","Aerial"
"Circus assimilis",0,0,0,0,0,0,0,0,0,1,"Accipitridae","Accipitriformes","AVIBASE-811762D2",9,6,3,0,8,36.1,20.2,11.2,16.2,95.2,421.6,191.6,234,45,271.1,558.6,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Carnivore","Vertivore","Aerial"
"Circus cinereus",0,0,0,0,0,0,0,1,1,0,"Accipitridae","Accipitriformes","AVIBASE-83DC8765",9,3,5,1,4,29.8,15.7,9.3,12.9,67.5,344.5,154.5,194.7,44.3,240.4,399.7,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Carnivore","Vertivore","Aerial"
"Circus cyaneus",1,1,1,1,1,1,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-F558C7F9",9,4,4,1,3,30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Aerial"
"Circus macrourus",1,1,1,1,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-22647E26",9,4,5,0,4,29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Aerial"
"Circus maurus",0,0,0,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-A41CD4E7",5,2,0,3,4,31.7,17,10.6,13.5,71.9,352.4,151.2,203.5,42.6,249.2,509,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Vertivore","Aerial"
"Circus melanoleucos",0,0,0,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-1EA96AE1",5,2,3,0,4,29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Aerial"
"Circus pygargus",1,1,1,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-63B6412E",7,3,4,0,4,26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Vertivore","Aerial"
"Circus spilonotus",0,0,0,1,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-A2F048C0",4,2,2,0,4,38.3,20,12.1,15.9,86.3,407.2,194.2,213,47.7,241.2,558.8,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Vertivore","Aerial"
"Cissomela pectoralis",0,0,0,0,0,0,0,0,0,1,"Meliphagidae","Passeriformes","AVIBASE-C86D00F0",12,3,9,0,4,16.1,8,2.3,2.8,16.4,67.2,13.8,52.1,21,42.1,10.1,"Dunning","NA","NO","NA","NA","Grassland",2,"1","Herbivore","Nectarivore","Insessorial"
"Cisticola aridulus",1,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-A2C88219",5,2,3,0,4,11.2,6.7,2.2,2.4,16.8,49.6,7.5,41.8,15.2,40.6,9.2,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Invertivore","Insessorial"
"Cisticola cantans",1,0,0,0,0,0,0,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-6B64558B",5,2,3,0,4,14,7.6,2.4,3,21.2,56,5,50.5,8.9,54.4,11.7,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Cisticola exilis",0,0,0,0,0,0,0,0,0,1,"Cisticolidae","Passeriformes","AVIBASE-7CB5F8B8",12,5,7,0,4,11.6,6.4,2.1,2.5,17.4,45.2,7.7,38.8,16.4,40.8,7,"Dunning","NA","NO","NA","NA","Grassland",2,"1","Carnivore","Invertivore","Terrestrial"
"Cisticola fulvicapilla",0,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-8220168F",10,2,3,5,9,11,6.5,2.4,2.6,17.3,48.1,4.5,43.9,9.2,41.5,8.2,"Dunning","NA","NO","NA","NA","Grassland",2,"1","Carnivore","Invertivore","Generalist"
"Cisticola juncidis",1,1,1,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-AEE2063F",21,9,12,0,4,12.1,6.8,2.3,2.6,17.7,48.9,6.7,42.8,13.5,40.3,6.8,"Dunning","NA","NO","NA","NA","Grassland",3,"3","Carnivore","Invertivore","Generalist"
"Cisticola ruficeps",1,0,0,0,0,0,0,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-8338F12F",4,2,2,0,4,12.2,7.1,2.4,3,18.1,53.2,5.2,48.1,9.7,38.8,9.7,"Dunning","NA","NO","NA","NA","Grassland",2,"1","Carnivore","Invertivore","Insessorial"
"Cisticola rufilatus",0,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-F7D5C201",5,2,3,0,4,14.2,8,2.6,3.1,19.7,57.2,6.9,49.9,12.2,63.2,11.3,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Generalist"
"Cisticola subruficapilla",0,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-B7C5BC8D",5,2,3,0,4,11.7,6.2,2,2.5,16.6,52.6,6.8,45,13.1,54.6,9.9,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Insessorial"
"Cisticola textrix",0,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-F9FA8D6B",5,2,3,0,4,11.1,6.5,2.2,2.6,19.7,51.2,6.6,44.1,13,31.4,10.3,"Dunning","NA","NO","NA","NA","Grassland",3,"1","Carnivore","Invertivore","Terrestrial"
"Cisticola tinniens",0,0,0,0,0,0,1,0,0,0,"Cisticolidae","Passeriformes","AVIBASE-F936B680",5,2,3,0,4,12.3,6.9,2.1,2.6,17.5,53.4,5.6,47.6,10.5,54.8,11.4,"Dunning","NA","NO","NA","NA","Wetland",3,"1","Carnivore","Invertivore","Insessorial"
